event_hour,user_count,hour_index,is_anomaly,was_tagged_as_anomaly
2024-03-08 07:00:00,3091,319,0,0
2024-03-08 08:00:00,3844,320,0,0
2024-03-08 09:00:00,4916,321,0,0
2024-03-08 10:00:00,5456,322,0,0
2024-03-08 11:00:00,5583,323,0,0
2024-03-08 12:00:00,5703,324,0,0
2024-03-08 13:00:00,5751,325,0,0
2024-03-08 14:00:00,6005,326,0,0
2024-03-08 15:00:00,5866,327,0,0
2024-03-08 16:00:00,5662,328,0,0
2024-03-08 17:00:00,5153,329,0,0
2024-03-08 18:00:00,4800,330,0,0
2024-03-08 19:00:00,4744,331,0,0
2024-03-08 20:00:00,4700,332,0,0
2024-03-08 21:00:00,4336,333,0,0
2024-03-08 22:00:00,4036,334,0,0
2024-03-08 23:00:00,2577,335,0,0
2024-03-09 00:00:00,3110,336,0,0
2024-03-09 01:00:00,2673,337,0,0
2024-03-09 02:00:00,2724,338,0,0
2024-03-09 03:00:00,2479,339,0,0
2024-03-09 04:00:00,2262,340,0,0
2024-03-09 05:00:00,2102,341,0,0
2024-03-09 06:00:00,2580,342,0,0
2024-03-09 07:00:00,3602,343,0,0
2024-03-09 08:00:00,4597,344,0,0
2024-03-09 09:00:00,5954,345,0,0
2024-03-09 10:00:00,6949,346,0,0
2024-03-09 11:00:00,8087,347,0,0
2024-03-09 12:00:00,8519,348,0,0
2024-03-09 13:00:00,7339,349,0,0
2024-03-09 14:00:00,7053,350,0,0
2024-03-09 15:00:00,6967,351,0,0
2024-03-09 16:00:00,6828,352,0,0
2024-03-09 17:00:00,6069,353,0,0
2024-03-09 18:00:00,5573,354,0,0
2024-03-09 19:00:00,5023,355,0,0
2024-03-09 20:00:00,4801,356,0,0
2024-03-09 21:00:00,4660,357,0,0
2024-03-09 22:00:00,4035,358,0,0
2024-03-09 23:00:00,2984,359,0,0
2024-03-10 00:00:00,3903,360,0,0
2024-03-10 01:00:00,3140,361,0,0
2024-03-10 03:00:00,3288,362,0,0
2024-03-10 04:00:00,2907,363,0,0
2024-03-10 05:00:00,2774,364,0,0
2024-03-10 06:00:00,2486,365,0,0
2024-03-10 07:00:00,2715,366,0,0
2024-03-10 08:00:00,3831,367,0,0
2024-03-10 09:00:00,5349,368,0,0
2024-03-10 10:00:00,2980,369,1,0
2024-03-10 11:00:00,15292,370,1,1
2024-03-10 12:00:00,11789,371,0,0
2024-03-10 13:00:00,10757,372,0,0
2024-03-10 14:00:00,9407,373,0,0
2024-03-10 15:00:00,8865,374,0,0
2024-03-10 16:00:00,8345,375,0,0
2024-03-10 17:00:00,7899,376,0,0
2024-03-10 18:00:00,7234,377,0,0
2024-03-10 19:00:00,6889,378,0,0
2024-03-10 20:00:00,6358,379,0,0
